graph,seed,case,noise,method,response_error,full_parameter_rmse,active_parameter_mae,identifiable_coordinate_error,estimate_norm
10,0,13,0.01,oracle8,0.010258130915913762,0.03906023876310011,0.07720180032805961,0.02339559708230955,0.054319425520065336
10,0,14,0.001,full56,0.04303894251034511,0.030514441251435143,0.06732931174087925,0.3932021783405319,0.01114201506652083
10,0,14,0.001,group5,0.08645126851744071,0.03054218446655744,0.06753418098985502,0.7578464233557484,0.011141830644895977
10,0,14,0.001,fisher3,0.043144684028429636,0.03051543268167155,0.06733112924671367,0.4298881165167158,0.01130348402185378
10,0,14,0.001,fisher8,0.04314468508934528,0.030515497718085476,0.06733101855546957,0.42988811651671616,0.011303487686920386
10,0,14,0.001,oracle8,0.04572180146454759,0.030411776278105304,0.06431604502892574,0.4768666073184304,0.02832872672326699
10,0,14,0.003,full56,0.10271839990457791,0.030970720426219955,0.06686479883562263,3.7502111040886397,0.04205539895459004
10,0,14,0.003,group5,0.1282397346415619,0.031033260835100055,0.06738601836691777,4.0081878207019095,0.04362932213580789
10,0,14,0.003,fisher3,0.11332367084729907,0.031113057689658743,0.06683333009915775,4.294804081174698,0.047581330629338975
10,0,14,0.003,fisher8,0.11332370993959713,0.031113053832166494,0.06683343398722447,4.294804081174697,0.04758133091827956
10,0,14,0.003,oracle8,0.0712983328002602,0.03046715985628645,0.06709032423355754,0.7728286608589762,0.0355066851499386
10,0,14,0.01,full56,0.35511680655124855,0.03259536599489374,0.06812761109936381,8.078824456679197,0.08691610320319514
10,0,14,0.01,group5,0.37636783789779493,0.0331194281177336,0.06793913397976732,9.061543732776745,0.09764090713727945
10,0,14,0.01,fisher3,0.3660365399902613,0.03322265842132468,0.0687906681131559,9.259381295152405,0.09933070762831377
10,0,14,0.01,fisher8,0.36603924554885436,0.033222272170896586,0.06878962466860156,9.259381295152405,0.0993307415059545
10,0,14,0.01,oracle8,0.3222039957621315,0.030414684804034007,0.06539355998307946,0.5389729389520986,0.036637082025708555
10,0,15,0.001,full56,0.024027033759749804,0.032662704386641137,0.07937913711479541,0.23467088847890932,0.041490913193504175
10,0,15,0.001,group5,0.02147360041643405,0.032701073804904585,0.07933282994355888,0.15753969660683573,0.04509829909627433
10,0,15,0.001,fisher3,0.021079969117809783,0.03263705079664949,0.07910930365211721,0.1392434569663415,0.04589060274406597
10,0,15,0.001,fisher8,0.021080004201984682,0.0326371788991023,0.0791096727441664,0.1392434569663412,0.045890603116200544
10,0,15,0.001,oracle8,0.01522573548580356,0.029023614968735064,0.06607710070324534,0.20349237844053736,0.09857853477504191
10,0,15,0.003,full56,0.021898121700405938,0.03272640011338388,0.07776407514356738,0.37927484867769495,0.06962040896611126
10,0,15,0.003,group5,0.02632698826147795,0.03294305341539589,0.07765069396142774,0.5312242502958159,0.07788424219566105
10,0,15,0.003,fisher3,0.028991056503380987,0.032852300497686726,0.07725582672752143,0.5655082827597564,0.07880203607013204
10,0,15,0.003,fisher8,0.028991066510352638,0.03285229337977454,0.0772555799410693,0.5655082827597564,0.0788020377391782
