budget,case,n,method,port_response_mae,node_voltage_mae_norm,displacement_current_error_percent,peak_voltage_error_percent,peak_location_hit,peak_location_distance_norm,edge_retention
0.6,33,4,magnitude,8.365155081577549e-07,2.5690672410662447e-08,16.53412184375365,6.058486002666837e-06,1.0,0.0,0.625
0.6,33,4,fisher_proxy,4.231714834322317e-07,3.1562300275008025e-08,13.274492171223537,3.810050207943913e-06,1.0,0.0,0.625
0.6,33,4,oracle_edge_current,5.017106832841284e-07,3.3775678794924824e-08,12.729021537658008,4.958362676802099e-06,1.0,0.0,0.625
0.6,33,4,learned_gate,5.315977479652724e-07,3.059506558684475e-08,12.853548839374332,6.7327962964854755e-06,1.0,0.0,0.625
0.6,34,6,distance,9.73600605558983e-07,5.243656917822849e-08,11.365787213944031,6.938643646105249e-06,1.0,0.0,0.611111111111111
0.6,34,6,magnitude,1.2993489798640798e-06,5.4879444380067476e-08,13.90045499750206,7.987445663757132e-06,1.0,0.0,0.611111111111111
0.6,34,6,fisher_proxy,7.202996470863134e-07,7.393700280767265e-08,12.689750646503281,6.605326375661508e-06,1.0,0.0,0.611111111111111
0.6,34,6,oracle_edge_current,7.369006144711022e-07,5.380653443235179e-08,10.32942606842871,6.92003318318934e-06,1.0,0.0,0.611111111111111
0.6,34,6,learned_gate,8.923554822463236e-07,5.046174334175805e-08,10.946052137810385,6.676667490490286e-06,1.0,0.0,0.611111111111111
0.6,35,8,distance,4.4071123995147177e-07,2.6313225637820803e-08,16.63407843733069,2.7016533418344515e-06,1.0,0.0,0.59375
0.6,35,8,magnitude,5.22963722036802e-07,2.4385413799799064e-08,17.945717759139733,2.9609414965263277e-06,1.0,0.0,0.59375
0.6,35,8,fisher_proxy,2.938921134211514e-07,3.132337226725272e-08,16.89305363266245,1.9357373920346014e-06,1.0,0.0,0.59375
0.6,35,8,oracle_edge_current,3.067426079210224e-07,2.221082606543225e-08,14.255579524100492,1.8488240689041198e-06,1.0,0.0,0.59375
0.6,35,8,learned_gate,3.536801541572284e-07,2.410821149442409e-08,14.825944496142235,2.3581595544599043e-06,1.0,0.0,0.59375
0.6,36,4,distance,7.902151519317372e-07,2.5653472160148866e-08,8.865838990481272,6.26427551281949e-06,1.0,0.0,0.625
0.6,36,4,magnitude,7.902151519317372e-07,2.5653472160148866e-08,8.865838990481272,6.26427551281949e-06,1.0,0.0,0.625
0.6,36,4,fisher_proxy,4.918114146506651e-07,5.093108201732099e-08,10.816457399402575,6.15836261502844e-06,1.0,0.0,0.625
0.6,36,4,oracle_edge_current,5.065879798216617e-07,3.351730045344253e-08,7.393025884158789,7.294186846927047e-06,1.0,0.0,0.625
0.6,36,4,learned_gate,5.065879798216617e-07,3.351730045344253e-08,7.393025884158789,7.294186846927047e-06,1.0,0.0,0.625
0.6,37,6,distance,8.330523863278825e-07,4.4276063086512566e-08,16.518732455413566,5.699489512091335e-06,1.0,0.0,0.611111111111111
0.6,37,6,magnitude,1.0052725415552836e-06,5.369771639835806e-08,19.19597104043595,9.00380557525225e-06,1.0,0.0,0.611111111111111
0.6,37,6,fisher_proxy,5.742526555695589e-07,5.6486664190458694e-08,16.47576091226778,4.9913545261625666e-06,1.0,0.0,0.611111111111111
0.6,37,6,oracle_edge_current,5.80781821880987e-07,4.5803684573787473e-08,15.109829869140246,4.644778501389954e-06,1.0,0.0,0.611111111111111
0.6,37,6,learned_gate,7.013809403620675e-07,4.800234805388238e-08,15.573820725450402,6.228689976852755e-06,1.0,0.0,0.611111111111111
0.6,38,8,distance,9.482395069206409e-07,5.0675596319440047e-08,11.495734681396701,6.039733631112754e-06,1.0,0.0,0.59375
0.6,38,8,magnitude,9.051465177038753e-07,4.881299934450538e-08,11.070819832143401,5.423886440768193e-06,1.0,0.0,0.59375
