case,n,method,port_response_mae,node_voltage_mae_norm,displacement_current_error_percent,peak_voltage_error_percent,peak_location_hit,peak_location_distance_norm,edge_retention
51,4,fisher_proxy,1.2956767885090315e-06,8.482456970859496e-08,30.014965702434637,1.5013911538689951e-05,1.0,0.0,0.375
51,4,oracle_edge_current,1.2956767885090315e-06,8.482456970859496e-08,30.014965702434637,1.5013911538689951e-05,1.0,0.0,0.375
51,4,learned_gate,1.2956767885090315e-06,8.482456970859496e-08,30.014965702434637,1.5013911538689951e-05,1.0,0.0,0.375
52,6,distance,2.8339026946364033e-06,1.8802149069641672e-07,32.94375300142618,2.4820479980458722e-05,1.0,0.0,0.38888888888888884
52,6,magnitude,3.243208223929761e-06,1.703196423599151e-07,33.125417562603246,2.9039033809948904e-05,1.0,0.0,0.38888888888888884
52,6,fisher_proxy,2.098107628168329e-06,2.2786850752459853e-07,33.26472276718154,2.378978614603752e-05,1.0,0.0,0.38888888888888884
52,6,oracle_edge_current,1.960962893317782e-06,1.5838647705198414e-07,26.625067608365626,1.851830916197879e-05,1.0,0.0,0.38888888888888884
52,6,learned_gate,1.960962893317782e-06,1.5838647705198414e-07,26.625067608365626,1.851830916197879e-05,1.0,0.0,0.38888888888888884
53,8,distance,2.4050409142691945e-06,1.509992109791956e-07,30.70182864313592,1.5970377006713698e-05,1.0,0.0,0.40625
53,8,magnitude,2.661950828426393e-06,1.5475239378027572e-07,32.193367640961554,1.7994248899120472e-05,1.0,0.0,0.40625
53,8,fisher_proxy,1.6446337040869572e-06,1.765453384453683e-07,29.560895226225735,1.3308836877573209e-05,1.0,0.0,0.40625
53,8,oracle_edge_current,1.7738507572358924e-06,1.3772957826181188e-07,26.79013299012862,1.2077349671733017e-05,1.0,0.0,0.40625
53,8,learned_gate,1.8229421989731745e-06,1.3642027435554715e-07,26.851917441495722,1.2735148927258157e-05,1.0,0.0,0.40625
54,4,distance,1.562871192530707e-06,5.5266457609678066e-08,31.74666031970329,1.543892503515736e-05,1.0,0.0,0.375
54,4,magnitude,1.3002684166102627e-06,4.033922395873815e-08,26.502680765800335,9.534710034570418e-06,1.0,0.0,0.375
54,4,fisher_proxy,7.533799998266089e-07,6.136614714553843e-08,23.840625159042723,1.012622976659563e-05,1.0,0.0,0.375
54,4,oracle_edge_current,8.916995044608069e-07,5.5436871779971745e-08,21.992110794942235,1.2378060117171518e-05,1.0,0.0,0.375
54,4,learned_gate,8.916995044608069e-07,5.5436871779971745e-08,21.992110794942235,1.2378060117171518e-05,1.0,0.0,0.375
55,6,distance,9.499205849168348e-07,5.850628759704595e-08,27.155230958066184,8.158787748263703e-06,1.0,0.0,0.38888888888888884
55,6,magnitude,1.2164520083231961e-06,6.073511661008258e-08,30.606057774042718,1.0906501360099865e-05,1.0,0.0,0.38888888888888884
55,6,fisher_proxy,6.882865324834657e-07,7.026067166907296e-08,27.571308898389802,7.585119765373938e-06,1.0,0.0,0.38888888888888884
55,6,oracle_edge_current,6.913431324473418e-07,5.001900768889664e-08,23.206415453182593,6.588424782179574e-06,1.0,0.0,0.38888888888888884
55,6,learned_gate,6.913431324473418e-07,5.001900768889664e-08,23.206415453182593,6.588424782179574e-06,1.0,0.0,0.38888888888888884
56,8,distance,6.082253637397968e-07,3.948709922214457e-08,28.251975891304337,3.910450096558406e-06,1.0,0.0,0.40625
56,8,magnitude,8.170645861609038e-07,4.19255404001996e-08,33.8566697194357,5.025823235200363e-06,1.0,0.0,0.40625
56,8,fisher_proxy,4.4367274193666634e-07,4.794432955266017e-08,29.168283018099412,3.4001258855892123e-06,1.0,0.0,0.40625
56,8,oracle_edge_current,4.612693339849557e-07,3.5865399425846266e-08,25.063056548284752,3.105857228850278e-06,1.0,0.0,0.40625
56,8,learned_gate,4.612693339849557e-07,3.5865399425846266e-08,25.063056548284752,3.105857228850278e-06,1.0,0.0,0.40625
57,4,distance,1.6956361789872411e-06,6.895142728566478e-08,37.82063505710674,1.834719413946193e-05,1.0,0.0,0.375
57,4,magnitude,1.4191983705132024e-06,6.478799334296879e-08,34.11896608409804,1.4106625891109853e-05,1.0,0.0,0.375
57,4,fisher_proxy,8.508593248206733e-07,7.02313490319881e-08,28.549816928038986,1.1502837227743979e-05,1.0,0.0,0.375
57,4,oracle_edge_current,9.997549388412815e-07,7.005585752975181e-08,28.27227379069102,1.4842855884698419e-05,1.0,0.0,0.375
57,4,learned_gate,8.508593248206733e-07,7.02313490319881e-08,28.549816928038986,1.1502837227743979e-05,1.0,0.0,0.375
58,6,distance,3.1720279429508595e-06,1.7169513529721758e-07,38.49872014624848,2.4758661671107146e-05,1.0,0.0,0.38888888888888884
58,6,magnitude,3.777392049167614e-06,1.792005305384686e-07,42.18664218652158,3.1149652547216345e-05,1.0,0.0,0.38888888888888884
58,6,fisher_proxy,2.0928514253761023e-06,1.821503290445946e-07,33.32377216800712,2.1203787635425834e-05,1.0,0.0,0.38888888888888884
58,6,oracle_edge_current,2.3312753217196817e-06,1.5614685762149532e-07,32.492600233246556,1.9772693887513752e-05,1.0,0.0,0.38888888888888884
